APOLSINHOT,20190829,750,889,750,826.8,5290
APTECHT,20190829,134,134.1,128.55,129.3,120564
ARCHIDPLY,20190829,25.05,25.4,24.2,25.15,6274
ARCHIES,20190829,17.1,17.2,16.6,16.75,12970
ARCOTECH,20190829,2.15,2.2,2.05,2.1,31469
ARIES,20190829,50.05,51.4,49.15,49.95,11985
ARIHANT,20190829,16.8,18,15.4,16,303
ARIHANTSUP,20190829,29.55,30.7,29.5,30.45,2173
ARMANFIN,20190829,374,374,345,354.1,1104
AROGRANITE,20190829,40.3,41.5,38.25,39.55,13920
ARROWGREEN,20190829,50,50.9,48,49,8558
ARROWTEX,20190829,9.9,10.6,9.9,10.2,1506
ARSHIYA,20190829,19,19.4,18,18.65,48777
ARSSINFRA,20190829,21.3,22.1,20.5,21.25,7950
ARVIND,20190829,46.15,48.8,45.7,48.35,5211016
ARVINDFASN,20190829,499.05,502,475.6,496.9,210552
ARVSMART,20190829,87.55,89.7,86.3,87.55,9490
ASAHIINDIA,20190829,187.9,187.9,180.15,185.1,10600
ASAHISONG,20190829,126,126,121.05,122,2825
ASAL,20190829,31.5,32.7,30.1,32.4,654
ASHAPURMIN,20190829,25.25,27.6,25.25,26.15,13645
ASHIANA,20190829,114.95,114.95,110,110.65,15212
ASHIMASYN,20190829,6.95,7.7,6.8,7.2,5116
ASHOKA,20190829,98.3,99.85,95.05,95.5,151448
ASHOKLEY,20190829,65.9,66.3,64.35,65.75,20369412
ASIANHOTNR,20190829,101.1,107.9,96.05,99.95,3116
ASIANPAINT,20190829,1602.85,1619.9,1589,1615.25,861692
ASIANTILES,20190829,221.85,223.5,216.25,218.85,81289
ASPINWALL,20190829,135,137.7,133.9,137.7,636
ASSAMCO,20190829,1.1,1.1,1,1,78984
ASTEC,20190829,380,384.7,368.05,375.1,3358
ASTERDM,20190829,118.05,118.5,116,116.95,14962
ASTRAL,20190829,1316,1319.2,1278.15,1290.05,132127
ASTRAMICRO,20190829,76,77.8,74.05,76.3,54172
ASTRAZEN,20190829,1860,1869.95,1835,1849.45,23897
ASTRON,20190829,92.95,94.2,91,92.55,460926
ATFL,20190829,492.2,505,480.25,502.2,3978
ATLANTA,20190829,6.9,6.9,6.35,6.6,4524
ATLASCYCLE,20190829,38,39.2,37.35,39.1,4151
